laptop_id,img_link,name,laptop_brand,usecases,price_rm,tags
170,https://rukminim1.flixcart.com/image/312/312/kyt0ya80/computer/b/v/q/na-thin-and-light-laptop-apple-original-imagaygvkp7pjexm.jpeg?q=70,APPLE MacBook Air M1,APPLE, Creative/Design,5856.95,appl m1 processor 16 gb ddr4 ram mac os oper system creative/design
172,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/p/e/u/-original-imaghrfs99qhypuc.jpeg?q=70,ASUS Vivobook Pro 15 OLED Core i5 12th Gen,ASUS, Multimedia/Entertainment,4949.45,intel core i5 processor (12th gen) 16 gb lpddr5 ram 64 bit window 11 oper system multimedia/entertain
173,https://rukminim1.flixcart.com/image/312/312/l26hdow0/computer/d/r/a/g15-5521-se-gaming-laptop-dell-original-imagdktezaswjvsk.jpeg?q=70,DELL G15 Core i5 12th Gen,DELL, Gaming,4399.45,intel core i5 processor (12th gen) 8 gb ddr5 ram 64 bit window 11 oper system game
175,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/9/l/-original-imaghzahumgmsmj5.jpeg?q=70,DELL Core i5 11th Gen,DELL, Home/Everyday use,4014.45,intel core i5 processor (11th gen) 16 gb ddr4 ram 64 bit window 11 oper system home/everyday use
176,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/w/x/p/-original-imaghzahjrwt6bvp.jpeg?q=70,DELL Core i5 12th Gen,DELL, Home/Everyday use,4208.545,intel core i5 processor (12th gen) 8 gb ddr4 ram 64 bit window 11 oper system home/everyday use
177,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/8/g/p/-original-imaggskghfjzams4.jpeg?q=70,ASUS Vivobook Flip 14 (2022) Touch Panel Core i5 12th Gen,ASUS, Student/Education,4124.45,intel core i5 processor (12th gen) 8 gb ddr4 ram 64 bit window 11 oper system student/educ
178,https://rukminim1.flixcart.com/image/312/312/l45xea80/computer/w/j/c/-original-imagf4htystubbsg.jpeg?q=70,DELL Inspiron Ryzen 3 Dual Core 3250U,DELL, Home/Everyday use,2091.595,amd ryzen 3 dual core processor 8 gb ddr4 ram 64 bit window 11 oper system home/everyday use
179,https://rukminim1.flixcart.com/image/312/312/kp5sya80/screen-guard/tempered-glass/o/v/n/apple-macbook-air-m1-13-3-inch-lightwings-original-imag3gh5xftgbpg3.jpeg?q=70,APPLE MacBook Air M1,APPLE, Creative/Design,5774.45,appl m1 processor 8 gb ddr4 ram mac os oper system creative/design
180,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/m/p/l/15ial7-thin-and-light-laptop-lenovo-original-imaggujwd4yz54xw.jpeg?q=70,Lenovo Intel Core i5 12th Gen,Lenovo, Student/Education,3762.0,intel core i5 processor (12th gen) 16 gb ddr4 ram 64 bit window 11 oper system student/educ
181,https://rukminim1.flixcart.com/image/312/312/k9d3p8w0/computer/c/a/h/asus-na-laptop-original-imafr6cbfurgkspg.jpeg?q=70,ASUS Pentium Quad Core,ASUS, Home/Everyday use,1319.45,intel pentium quad core processor 4 gb ddr4 ram 64 bit window 10 oper system home/everyday use
182,https://rukminim1.flixcart.com/image/312/312/kynb6vk0/computer/k/j/a/-original-imagaufne7h4hgbz.jpeg?q=70,Lenovo Intel Core i5 11th Gen,Lenovo, Student/Education,3574.45,intel core i5 processor (11th gen) 8 gb ddr4 ram 64 bit window 11 oper system student/educ
183,https://rukminim1.flixcart.com/image/312/312/ko8xtow0/computer/j/q/r/na-thin-and-light-laptop-dell-original-imag2qm3x6zhexrf.jpeg?q=70,DELL Inspiron Core i5 11th Gen,DELL, Home/Everyday use,2743.95,intel core i5 processor (11th gen) 16 gb ddr4 ram 64 bit window 11 oper system home/everyday use
185,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/a/c/3/-original-imagg56h9gat842s.jpeg?q=70,Lenovo IdeaPad 3 Core i5 12th Gen,Lenovo, Student/Education,3436.95,intel core i5 processor (12th gen) 16 gb ddr4 ram 64 bit window 11 oper system student/educ
186,https://rukminim1.flixcart.com/image/312/312/kyt0ya80/computer/i/d/p/na-thin-and-light-laptop-apple-original-imagaygvtvf6cx8h.jpeg?q=70,APPLE MacBook Air M1,APPLE, Creative/Design,6984.45,appl m1 processor 16 gb ddr4 ram mac os oper system creative/design
187,https://rukminim1.flixcart.com/image/312/312/kz4gh3k0/computer/n/e/x/fx506lh-hn258ws-gaming-laptop-asus-original-imagb7hfzhmv6v9y.jpeg?q=70,ASUS TUF Gaming F15 Core i5 10th Gen,ASUS, Gaming,3354.45,intel core i5 processor (10th gen) 8 gb ddr4 ram 64 bit window 11 oper system game
189,https://rukminim1.flixcart.com/image/312/312/l4oi4cw0/computer/i/n/e/a715-5g-gaming-laptop-acer-original-imagfj2g954wfdyz.jpeg?q=70,acer Aspire 7 Core i5 12th Gen,acer, Student/Education,3409.45,intel core i5 processor (12th gen) 16 gb ddr4 ram 64 bit window 11 oper system student/educ
190,https://rukminim1.flixcart.com/image/312/312/l45xea80/computer/m/q/7/vostro-3425-thin-and-light-laptop-dell-original-imagf4mth22ydgqs.jpeg?q=70,DELL Ryzen 3 Quad Core 5425U,DELL, Budget Friendly,2281.95,amd ryzen 3 quad core processor 8 gb ddr4 ram 64 bit window 11 oper system budget friendli
191,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/e/r/fx517zc-hn083ws-gaming-laptop-asus-original-imaghksrxzczrbyw.jpeg?q=70,ASUS TUF Dash F15 Core i5 12th Gen,ASUS, Gaming,4289.45,intel core i5 processor (12th gen) 16 gb ddr5 ram window 11 oper system game
192,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/l/7/m/-original-imagetj2awbvdju6.jpeg?q=70,ASUS TUF Gaming F15 (2022) Core i7 12th Gen,ASUS, Gaming,5197.5,intel core i7 processor (12th gen) 16 gb ddr5 ram 64 bit window 11 oper system game
193,https://rukminim1.flixcart.com/image/312/312/ks7tuvk0/computer/t/j/v/g513qy-hq008ts-gaming-laptop-asus-original-imag5tthdvxrbrnv.jpeg?q=70,ASUS ROG Strix G15 Advantage Edition Ryzen 9 Octa Core AMD R9,ASUS, Gaming,8524.45,amd ryzen 9 octa core processor 16 gb ddr4 ram window 10 oper system game
196,https://rukminim1.flixcart.com/image/312/312/l2hwwi80/computer/o/q/u/eg2035tu-thin-and-light-laptop-hp-original-imagdtzgzfs6gjfy.jpeg?q=70,HP Pavilion Intel Core i5 12th Gen,HP, Home/Everyday use,4124.45,intel core i5 processor (12th gen) 16 gb ddr4 ram 64 bit window 11 oper system home/everyday use
197,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/i/j/u/-original-imaggzes4pd7ptkx.jpeg?q=70,ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5,ASUS, Gaming,3629.45,amd ryzen 5 hexa core processor 8 gb ddr4 ram 64 bit window 11 oper system game
198,https://rukminim1.flixcart.com/image/312/312/khdqnbk0/computer/5/2/3/apple-original-imafxfyqp4fbfuv3.jpeg?q=70,APPLE 2020 Macbook Pro M1,APPLE, Creative/Design,6324.45,appl m1 processor 8 gb ddr4 ram mac os oper system creative/design
199,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/v/o/an515-45-gaming-laptop-acer-original-imagkfjtgwdetsby.jpeg?q=70,acer Nitro 5 Ryzen 5 Hexa Core 5600H,acer, Gaming,3519.45,amd ryzen 5 hexa core processor 16 gb ddr4 ram window 11 oper system game
200,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/j/h/b/katana-gf66-12ud-gaming-laptop-msi-original-imageym6wfkavhyh.jpeg?q=70,MSI Katana GF66 Core i5 12th Gen,MSI, Gaming,4454.45,intel core i5 processor (12th gen) 16 gb ddr4 ram 64 bit window 11 oper system game
202,https://rukminim1.flixcart.com/image/312/312/kwv0djk0/computer/3/n/y/14c-cc0010tu-chromebook-hp-original-imag9g9mhckzhuqt.jpeg?q=70,HP Chromebook Intel Core i5 11th Gen,HP, Student/Education,3409.45,intel core i5 processor (11th gen) 8 gb ddr4 ram 64 bit chrome oper system student/educ
203,https://rukminim1.flixcart.com/image/312/312/l0vbukw0/computer/4/i/k/-original-imagckcfgfba4fja.jpeg?q=70,ASUS ROG Strix SCAR 15 (2022) Core i9 12th Gen,ASUS, Gaming,15509.45,intel core i9 processor (12th gen) 32 gb ddr5 ram 64 bit window 11 oper system game
204,https://rukminim1.flixcart.com/image/312/312/krdtlzk0/computer/l/k/r/na-laptop-dell-original-imag57f9psmfjcxs.jpeg?q=70,DELL Inspiron Core i5 11th Gen,DELL, Student/Education,3315.95,intel core i5 processor (11th gen) 8 gb ddr4 ram 64 bit window 11 oper system student/educ
205,https://rukminim1.flixcart.com/image/312/312/l5jxt3k0/computer/o/t/v/vivobook-notebook-asus-original-imagg763qstjsura.jpeg?q=70,ASUS Vivobook 14 Core i5 10th Gen,ASUS, Home/Everyday use,2694.45,intel core i5 processor (10th gen) 16 gb ddr4 ram 64 bit window 11 oper system home/everyday use
206,https://rukminim1.flixcart.com/image/312/312/l4vnbm80/computer/d/j/e/vostro-5625-laptop-dell-original-imagfzh6vqh9jfww.jpeg?q=70,DELL Ryzen 5 Hexa Core 5625U,DELL, Student/Education,3299.45,amd ryzen 5 hexa core processor 8 gb ddr4 ram 64 bit window 11 oper system student/educ
208,https://rukminim1.flixcart.com/image/312/312/kcm9t3k0/computer/q/x/r/hp-na-gaming-laptop-original-imaftpesbvfxgw9t.jpeg?q=70,HP Pavilion Gaming Ryzen 5 Quad Core 3550H,HP, Gaming,3024.45,amd ryzen 5 quad core processor 8 gb ddr4 ram 64 bit window 10 oper system game
209,https://rukminim1.flixcart.com/image/312/312/kuyf8nk0/computer/g/z/q/mk1e3hn-a-laptop-apple-original-imag7yzmv57cvg3f.jpeg?q=70,APPLE 2021 Macbook Pro M1 Pro,APPLE, Creative/Design,13419.45,appl m1 pro processor 16 gb unifi memori ram mac os oper system creative/design
210,https://rukminim1.flixcart.com/image/312/312/krdtlzk0/computer/l/k/r/na-laptop-dell-original-imag57f9psmfjcxs.jpeg?q=70,DELL Inspiron Ryzen 3 Dual Core 3250U,DELL, Home/Everyday use,2303.95,amd ryzen 3 dual core processor 8 gb ddr4 ram 64 bit window 11 oper system home/everyday use
212,https://rukminim1.flixcart.com/image/312/312/l2dmky80/computer/l/c/g/-original-imagdqdyewdfx452.jpeg?q=70,ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,ASUS, Home/Everyday use,2364.45,intel core i3 processor (11th gen) 8 gb ddr4 ram 64 bit window 11 oper system home/everyday use
213,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/p/i/1/crosshair-15-b12uez-gaming-laptop-msi-original-imageymuhhs7djjf.jpeg?q=70,MSI Crosshair 15 Core i7 12th Gen,MSI, Gaming,5774.45,intel core i7 processor (12th gen) 16 gb ddr4 ram 64 bit window 11 oper system game
214,https://rukminim1.flixcart.com/image/312/312/kggviq80/computer/x/6/g/lenovo-original-imafwpajqjvfhrea.jpeg?q=70,Lenovo Legion 5 Core i7 10th Gen,Lenovo, Gaming,4756.95,intel core i7 processor (10th gen) 16 gb ddr4 ram 64 bit window 10 oper system game
215,https://rukminim1.flixcart.com/image/312/312/kxnl6kw0/computer/p/y/t/a5efk-083in-gaming-laptop-msi-original-imaga237dvrrnznh.jpeg?q=70,MSI Delta 15 AMD Advantage Edition Ryzen 9 Octa Core 5900HX 5th Gen,MSI, Gaming,7149.45,amd ryzen 9 octa core processor (5th gen) 16 gb ddr4 ram 64 bit window 11 oper system game
216,https://rukminim1.flixcart.com/image/312/312/l3bx5e80/computer/w/b/h/inspiron-15-3000-laptop-dell-original-imagegyhzfggaagg.jpeg?q=70,DELL Core i5 11th Gen,DELL, Home/Everyday use,2908.95,intel core i5 processor (11th gen) 8 gb ddr4 ram window 11 oper system home/everyday use
219,https://rukminim1.flixcart.com/image/312/312/koad9jk0/computer/u/r/2/na-gaming-laptop-asus-original-imag2sc5zgzhcsjd.jpeg?q=70,ASUS ROG Strix G15 with 90Whr Battery Ryzen 7 Octa Core 5800H,ASUS, Gaming,8084.45,amd ryzen 7 octa core processor 16 gb ddr4 ram 64 bit window 11 oper system game
221,https://rukminim1.flixcart.com/image/312/312/kzn17680/computer/1/i/z/-original-imagbhzqahdzyx4e.jpeg?q=70,HP OMEN Ryzen 5 Hexa Core AMD R5,HP, Gaming,4289.45,amd ryzen 5 hexa core processor 8 gb ddr4 ram 64 bit window 11 oper system game
222,https://rukminim1.flixcart.com/image/312/312/ktrk13k0/computer/r/f/g/v15-ada-laptop-lenovo-original-imag7fh6fufy5cjp.jpeg?q=70,Lenovo Ryzen 3 Dual Core 3250U,Lenovo, Home/Everyday use,1731.95,amd ryzen 3 dual core processor 4 gb ddr4 ram 64 bit window 10 oper system home/everyday use
224,https://rukminim1.flixcart.com/image/312/312/kt4ozgw0/computer/k/r/h/swift-3-thin-and-light-laptop-acer-original-imag6jer4nhrjth2.jpeg?q=70,acer Swift 3 Ryzen 5 Hexa Core 5500U,acer, Home/Everyday use,3382.5,amd ryzen 5 hexa core processor 8 gb lpddr4x ram 64 bit window 10 oper system home/everyday use
228,https://rukminim1.flixcart.com/image/312/312/l0vbukw0/computer/4/i/k/-original-imagckcfgfba4fja.jpeg?q=70,ASUS ROG Strix Scar 15 (2022) Core i9 12th Gen,ASUS, Gaming,12591.04,intel core i9 processor (12th gen) 32 gb ddr5 ram 64 bit window 11 oper system game
229,https://rukminim1.flixcart.com/image/312/312/kcauaa80/computer/8/k/e/alienware-original-imaftgn37g4vzqmy.jpeg?q=70,ALIENWARE Core i9 10th Gen,ALIENWARE, Gaming,18996.45,intel core i9 processor (10th gen) 32 gb ddr4 ram 64 bit window 10 oper system game
230,https://rukminim1.flixcart.com/image/312/312/k5zn9u80/computer/c/g/z/dell-na-thin-and-light-laptop-original-imafzjvtmchmyfx4.jpeg?q=70,DELL Inspiron 7000 Core i5 10th Gen,DELL, Home/Everyday use,3464.45,intel core i5 processor (10th gen) 8 gb ddr4 ram 64 bit window 10 oper system home/everyday use
234,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/t/j/h/an515-45-gaming-laptop-acer-original-imagkfjta83h2njz.jpeg?q=70,acer Nitro 5 Ryzen 5 Hexa Core 5600H,acer, Gaming,4179.45,amd ryzen 5 hexa core processor 16 gb ddr4 ram window 11 oper system game
